# Time-averaged data for fix 1
# TimeStep c_mytemp c_mypress v_myvol c_PE c_KE
50 2857.02 -247.797 48102.8 -31.7988 15.1412
51 2873.44 -235.736 48102.3 -31.899 15.2283
52 2883.5 -222.929 48100.9 -31.9918 15.2816
53 2886.9 -209.65 48098.7 -32.0759 15.2996
54 2883.35 -195.434 48095.6 -32.1496 15.2808
55 2872.53 -180.218 48091.8 -32.2106 15.2235
56 2854.61 -168.118 48087.4 -32.2589 15.1285
57 2830.04 -156.033 48082.2 -32.2957 14.9982
58 2799.06 -143.702 48076.5 -32.3203 14.8341
59 2762.11 -131.202 48070.3 -32.3327 14.6383
60 2719.79 -118.488 48063.5 -32.333 14.414
61 2672.85 -105.218 48056.4 -32.3219 14.1652
62 2622.17 -91.4058 48048.8 -32.3 13.8966
63 2568.92 -79.7706 48040.9 -32.2696 13.6144
64 2514.39 -68.2759 48032.7 -32.2338 13.3254
65 2459.83 -57.143 48024.2 -32.1953 13.0363
66 2406.48 -46.4908 48015.6 -32.1577 12.7535
67 2355.47 -35.4598 48006.8 -32.1246 12.4832
68 2307.73 -23.9702 47997.9 -32.0991 12.2302
69 2264.05 -13.4193 47988.9 -32.0845 11.9987
70 2225.07 -4.6738 47979.9 -32.0842 11.7921
71 2191.03 3.81892 47970.9 -32.0999 11.6117
72 2161.79 12.0516 47962 -32.1318 11.4568
73 2136.93 20.0123 47953.1 -32.1787 11.325
74 2115.76 27.701 47944.4 -32.2383 11.2128
75 2097.45 35.0828 47935.7 -32.3075 11.1158
76 2081.03 41.7415 47927.2 -32.3823 11.0288
77 2065.35 48.8103 47919 -32.458 10.9457
78 2049.25 56.192 47910.9 -32.5286 10.8603
79 2031.96 62.1093 47903.1 -32.5918 10.7687
80 2012.86 68.5478 47895.5 -32.6445 10.6675
81 1991.22 75.8243 47888.3 -32.6832 10.5528
82 1966.46 84.2232 47881.3 -32.7049 10.4216
83 1938.26 92.7794 47874.8 -32.7079 10.2721
84 1906.87 98.6851 47868.6 -32.6937 10.1057
85 1872.73 103.952 47862.8 -32.6646 9.92487
86 1836.33 108.423 47857.5 -32.6225 9.73192
87 1798.33 112.74 47852.6 -32.571 9.53054
88 1759.62 116.85 47848.1 -32.5144 9.3254
89 1721.2 120.549 47844.2 -32.4579 9.12179
90 1683.9 121.859 47840.7 -32.4056 8.92411
91 1648.64 123.458 47837.8 -32.3624 8.73726
92 1616.53 124.785 47835.3 -32.3342 8.56706
93 1588.36 125.351 47833.4 -32.3255 8.41776
94 1564.74 123.152 47832 -32.3393 8.29259
95 1546.05 118.627 47831.1 -32.3784 8.19352
96 1532.26 112.592 47830.6 -32.4427 8.12046
97 1522.97 103.258 47830.7 -32.5306 8.07124
98 1517.6 93.1964 47831.1 -32.639 8.04279
99 1515.52 83.8502 47831.9 -32.7649 8.03174
100 1516.01 74.6519 47833.1 -32.9049 8.03433
101 1543.79 67.0121 47833.3 -33.0558 8.1816
102 1571.69 58.8087 47833.7 -33.2137 8.32943
103 1599.1 52.1014 47834.4 -33.3759 8.47469
104 1625.5 43.0099 47835.3 -33.5399 8.61459
105 1650.31 31.1903 47836.4 -33.7029 8.7461
106 1673.09 17.4986 47837.7 -33.8624 8.86684
107 1693.55 2.62249 47839 -34.0171 8.97525
108 1711.48 -13.4705 47840.3 -34.1661 9.07027
109 1726.73 -32.1063 47841.7 -34.3082 9.15109
110 1739.29 -50.307 47842.9 -34.4433 9.21766
111 1749.21 -68.6569 47843.9 -34.5721 9.27024
112 1756.44 -87.6691 47844.7 -34.6928 9.30856
113 1761.21 -104.639 47845.1 -34.8069 9.33381
114 1763.98 -118.999 47845.2 -34.9164 9.3485
115 1765.13 -131.441 47844.8 -35.0228 9.35461
116 1764.95 -142.373 47843.9 -35.1269 9.35367
117 1763.7 -151.983 47842.5 -35.2293 9.347
118 1761.58 -160.415 47840.5 -35.3306 9.33578
119 1758.79 -167.785 47837.9 -35.4309 9.321
120 1755.5 -173.988 47834.6 -35.5305 9.30355
121 1751.83 -179.292 47830.7 -35.6291 9.2841
122 1747.87 -184.063 47826.1 -35.7266 9.26312
123 1743.67 -188.417 47820.7 -35.8226 9.24085
124 1739.25 -192.468 47814.7 -35.9164 9.21744
125 1734.62 -196.314 47807.9 -36.0077 9.19289
126 1729.59 -202.395 47800.4 -36.095 9.16625
127 1724 -207.996 47792 -36.1769 9.13664
128 1717.91 -212.449 47782.9 -36.2535 9.10437
129 1711.37 -215.684 47773 -36.325 9.06968
130 1704.35 -217.646 47762.2 -36.391 9.03251
131 1696.79 -218.252 47750.6 -36.4512 8.99242
132 1688.54 -217.32 47738.2 -36.5048 8.94867
133 1679.31 -215.574 47724.9 -36.5507 8.8998
134 1668.71 -212.344 47710.8 -36.5862 8.84359
135 1656.8 -210.815 47695.9 -36.6118 8.78051
136 1644 -209.056 47680.2 -36.6303 8.71266
137 1630.44 -206.492 47663.7 -36.6425 8.64079
138 1616.2 -203.186 47646.4 -36.6488 8.56531
139 1601.36 -199.366 47628.4 -36.65 8.4867
140 1586.05 -195.247 47609.6 -36.6467 8.40554
141 1570.38 -190.696 47590 -36.6399 8.3225
142 1554.49 -185.727 47569.7 -36.6303 8.23826
143 1538.51 -180.364 47548.8 -36.6189 8.15359
144 1522.61 -174.637 47527.1 -36.6065 8.06932
145 1506.95 -168.596 47504.8 -36.5943 7.98636
146 1491.73 -162.302 47481.9 -36.5832 7.90566
147 1477.12 -155.834 47458.4 -36.5744 7.82827
148 1463.34 -149.282 47434.2 -36.5692 7.75523
149 1450.59 -142.747 47409.6 -36.5686 7.68763
150 1439.06 -136.337 47384.4 -36.5738 7.62654
151 1428.96 -130.162 47358.7 -36.586 7.57299
152 1420.45 -124.341 47332.5 -36.6062 7.52791
153 1413.7 -118.942 47305.9 -36.6354 7.49214
154 1408.82 -113.495 47278.9 -36.6743 7.46628
155 1405.87 -107.392 47251.4 -36.7232 7.45064
156 1404.87 -101.3 47223.6 -36.7825 7.44536
157 1405.84 -95.0128 47195.4 -36.8524 7.45047
158 1408.72 -88.7707 47166.9 -36.9325 7.46573
159 1413.42 -82.6114 47138 -37.0226 7.49064
160 1419.77 -76.0552 47108.9 -37.1219 7.52432
161 1427.56 -69.1977 47079.6 -37.2293 7.5656
162 1436.55 -62.0971 47050 -37.3435 7.61325
163 1446.5 -54.7355 47020.2 -37.4635 7.66595
164 1457.13 -47.6643 46990.2 -37.5878 7.72231
165 1468.17 -40.6168 46960.1 -37.7149 7.78079
166 1479.25 -33.2148 46929.8 -37.843 7.83952
167 1489.97 -25.323 46899.5 -37.97 7.89632
168 1499.87 -16.8576 46869.1 -38.0933 7.94879
169 1508.47 -7.80394 46838.7 -38.2104 7.99441
170 1515.32 1.80128 46808.3 -38.3188 8.03069
171 1519.95 11.8867 46777.9 -38.4158 8.05523
172 1521.94 22.5881 46747.6 -38.4991 8.06576
173 1520.81 34.3205 46717.5 -38.5661 8.05981
174 1516 47.9427 46687.5 -38.6136 8.03431
175 1507.09 61.8637 46657.7 -38.6381 7.98707
176 1494.22 73.8986 46628.2 -38.6417 7.91888
177 1477.61 86.1282 46599 -38.6245 7.83085
178 1457.09 93.5406 46570.2 -38.5858 7.72211
179 1432.69 101.803 46541.7 -38.525 7.59276
180 1404.84 110.831 46513.7 -38.4445 7.44516
181 1374.15 120.832 46486.1 -38.3472 7.28255
182 1341.38 131.37 46459 -38.2369 7.10889
183 1307.41 142.049 46432.4 -38.1181 6.92885
184 1273.25 152.492 46406.4 -37.9962 6.74781
185 1240.04 162.349 46380.9 -37.8772 6.57181
186 1209 171.308 46356.1 -37.7676 6.40729
187 1181.36 179.098 46332 -37.6741 6.26081
188 1158.29 185.491 46308.6 -37.6033 6.13857
189 1140.81 190.313 46285.8 -37.5606 6.04592
190 1129.67 193.471 46263.8 -37.5505 5.98689
191 1125.31 194.943 46242.6 -37.5756 5.96377
192 1127.79 194.78 46222 -37.6366 5.97692
193 1136.81 193.118 46202.3 -37.7323 6.02473
194 1151.73 190.151 46183.2 -37.8594 6.10377
195 1171.61 186.119 46164.9 -38.0135 6.20916
196 1195.37 181.299 46147.3 -38.1886 6.33504
197 1221.78 175.976 46130.3 -38.3788 6.47501
198 1249.64 170.127 46114 -38.5775 6.62266
199 1277.81 163.664 46098.4 -38.7788 6.77198
200 1305.29 156.881 46083.4 -38.9775 6.91759
201 1331.2 149.896 46069 -39.1688 7.05491
202 1354.83 142.849 46055.2 -39.349 7.18016
203 1375.61 135.943 46041.9 -39.515 7.29028
204 1393.07 129.478 46029.1 -39.6641 7.38282
205 1406.83 123.694 46016.8 -39.7942 7.45572
206 1416.8 114.665 46004.9 -39.9049 7.50855
207 1422.99 104.637 45993.6 -39.996 7.54139
208 1425.2 93.3617 45982.6 -40.0657 7.55307
209 1423.55 83.3368 45971.9 -40.1152 7.54434
210 1418.56 73.9374 45961.6 -40.1468 7.51787
211 1410.54 64.5105 45951.6 -40.1625 7.47542
212 1399.78 56.4966 45941.9 -40.1629 7.41839
213 1386.72 50.2332 45932.3 -40.1505 7.34914
214 1371.9 45.5738 45923 -40.1282 7.27061
215 1355.89 42.4101 45913.8 -40.0988 7.18577
216 1339.25 40.2306 45904.8 -40.0652 7.09757
217 1322.54 38.3344 45896 -40.0304 7.00903
218 1306.31 36.7618 45887.3 -39.9973 6.92303
219 1291.06 35.3025 45878.8 -39.9685 6.84218
220 1277.19 33.5612 45870.4 -39.9462 6.7687
221 1265.08 30.8595 45862.2 -39.9324 6.70451
222 1254.98 27.7154 45854.1 -39.9286 6.65097
223 1247.02 24.1552 45846.1 -39.9355 6.6088
224 1241.24 20.2017 45838.2 -39.9534 6.57815
225 1237.56 15.8723 45830.4 -39.9821 6.55867
226 1235.85 11.1677 45822.7 -40.0207 6.54957
227 1235.87 6.05256 45815 -40.0682 6.5497
228 1237.36 0.72815 45807.3 -40.1232 6.5576
229 1239.96 -3.76326 45799.7 -40.1839 6.57137
230 1243.28 -7.97321 45792.1 -40.2483 6.58895
231 1246.95 -11.8451 45784.4 -40.3143 6.60843
232 1250.66 -15.2587 45776.8 -40.3804 6.62808
233 1254.13 -18.5341 45769.1 -40.445 6.64646
234 1257.16 -22.1101 45761.3 -40.5071 6.66251
235 1259.57 -24.9853 45753.5 -40.5658 6.67528
236 1261.2 -27.0729 45745.6 -40.6201 6.68393
